question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links,multiple_constraints,numerical_reasoning,post_processing,tabular_reasoning,temporal_reasoning,sum,wiki_len,fold
"Who is married to the actor who plays Imdad Khan in the film version of The Wonderful Story of Henry Sugar, as of August 1, 2024 ?",Daniela Lavender,https://en.wikipedia.org/wiki/The_Wonderful_Story_of_Henry_Sugar_(film),https://en.wikipedia.org/wiki/Ben_Kingsley,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/The_Wonderful_Story_of_Henry_Sugar_(film)', 'https://en.wikipedia.org/wiki/Ben_Kingsley']",1,0,0,0,0,1,2,0
"What is the difference in mean flow rate (in cubic feet per second) between the River Avon at Great Somerford and its tributary, the River Marden?",75.5 cubic ft/s,"https://en.wikipedia.org/wiki/River_Avon,_Bristol#Hydrology_and_water_quality",https://en.wikipedia.org/wiki/River_Marden,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/River_Avon,_Bristol#Hydrology_and_water_quality', 'https://en.wikipedia.org/wiki/River_Marden']",0,1,0,0,0,1,2,0
"If Andrew Fluegelman's suggested donation for his freeware program were paid at a rate of 1 per every day, how much money would he have made during his fast?","$1,225",https://en.wikipedia.org/wiki/PC-Talk,https://en.wikipedia.org/wiki/Andrew_Fluegelman,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/PC-Talk', 'https://en.wikipedia.org/wiki/Andrew_Fluegelman']",0,1,0,0,0,1,2,0
"As of August 1, 2024, if you add together the age of Ana Ollo Hualde and the age of the country of Israel what number do you get when you subtract 35 from your answer?",100 (59 + 76) - 35,https://en.wikipedia.org/wiki/Ana_Ollo,https://en.wikipedia.org/wiki/Israel,,,,,,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/Ana_Ollo', 'https://en.wikipedia.org/wiki/Israel']",0,1,1,0,0,2,2,0
When did the actress with multiple sclerosis who starred in the comedy about killing her husband receive a star on the Hollywood Walk of Fame?,"November 14, 2022",https://en.wikipedia.org/wiki/Dead_to_Me_(TV_series),https://en.wikipedia.org/wiki/Christina_Applegate,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Dead_to_Me_(TV_series)', 'https://en.wikipedia.org/wiki/Christina_Applegate']",1,0,0,0,0,1,2,0
As of 1st june 2024 Which Jonas brother has a wife who narrated a nature documentary released under the Disneynature label?,Nick,https://en.wikipedia.org/wiki/Jonas_Brothers#Members,https://en.wikipedia.org/wiki/Nick_Jonas#Personal_life,https://en.wikipedia.org/wiki/Joe_Jonas#Personal_life,https://en.wikipedia.org/wiki/Kevin_Jonas#Personal_life,https://en.wikipedia.org/wiki/Disneynature#Filmography,https://en.wikipedia.org/wiki/Priyanka_Chopra,,,,,,Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Jonas_Brothers#Members', 'https://en.wikipedia.org/wiki/Nick_Jonas#Personal_life', 'https://en.wikipedia.org/wiki/Joe_Jonas#Personal_life', 'https://en.wikipedia.org/wiki/Kevin_Jonas#Personal_life', 'https://en.wikipedia.org/wiki/Disneynature#Filmography', 'https://en.wikipedia.org/wiki/Priyanka_Chopra']",1,0,1,0,0,2,6,0
"As of August 3, 2024, what is the capital of the 7th largest country in Asia?",The capital of the 7th largest country in Asia is Ulaanbaatar,https://en.wikipedia.org/wiki/List_of_Asian_countries_by_area,https://en.wikipedia.org/wiki/Mongolia,,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_Asian_countries_by_area', 'https://en.wikipedia.org/wiki/Mongolia']",1,0,0,1,0,2,2,0
"As of August 3, 2024, what is the biggest religion in the country who has the best democracy in 2023, according to the democracy index?",The Evangelical Lutheran Church of Norway,https://en.wikipedia.org/wiki/The_Economist_Democracy_Index,https://en.wikipedia.org/wiki/Norway,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/The_Economist_Democracy_Index', 'https://en.wikipedia.org/wiki/Norway']",0,0,0,1,0,1,2,0
"Ben Darwin, former Australian rugby union footballer, graduated from the Australian Institute of Sport (AIS). How many years after Darwin's birth was the headquarters for the AIS opened? Ignore the month either event occurred.",5,https://en.wikipedia.org/wiki/Ben_Darwin,https://en.wikipedia.org/wiki/Australian_Institute_of_Sport,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Ben_Darwin', 'https://en.wikipedia.org/wiki/Australian_Institute_of_Sport']",0,1,0,0,0,1,2,0
What is the atomic number in roman numerals for the element that has the same symbol as the first two letters of the 23rd most populous city (as of 2024) of the country represented between Italy and China at the World Showcase in Epcot?,LXXIX,https://en.wikipedia.org/wiki/Epcot,https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population,https://en.wikipedia.org/wiki/Gold,,,,,,,,,Tabular reasoning | Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Epcot', 'https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population', 'https://en.wikipedia.org/wiki/Gold']",1,0,1,1,0,3,3,0
"The National Peace Corps Association was founded in 1979 by a United States politician. This founder then appointed the very first director of the Peace Corps, his brother-in-law. What is the first name of this director?",Robert,https://en.wikipedia.org/wiki/National_Peace_Corps_Association,https://en.wikipedia.org/wiki/John_F._Kennedy,https://en.wikipedia.org/wiki/Sargent_Shriver,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/National_Peace_Corps_Association', 'https://en.wikipedia.org/wiki/John_F._Kennedy', 'https://en.wikipedia.org/wiki/Sargent_Shriver']",1,0,0,0,0,1,3,0
"I'm thinking of a diving duck, the largest found in North America, that breeds in the Prairie Pothole Region. This duck, smothered in blackcurrant sauce, was once described by Edith Wharton as an ""especially luxurious dinner"" which was served in New York City in the 1870s. Which duck am I thinking of?",The canvasback.,https://en.wikipedia.org/wiki/Diving_duck,https://en.wikipedia.org/wiki/Prairie_Pothole_Region,https://en.wikipedia.org/wiki/Canvasback,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Diving_duck', 'https://en.wikipedia.org/wiki/Prairie_Pothole_Region', 'https://en.wikipedia.org/wiki/Canvasback']",1,0,0,0,0,1,3,0
What is the population of the town (as of December 2020) that holds the Mountain Cheese Olympics?,5793,https://en.wikipedia.org/wiki/Mountain_Cheese_Olympics,https://en.wikipedia.org/wiki/Appenzell_District,,,,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Mountain_Cheese_Olympics', 'https://en.wikipedia.org/wiki/Appenzell_District']",1,1,0,0,0,2,2,0
Is the time between Oasis's first album and 2024 shorter or longer than between Oasis's first album and The Beatles' last album?,Longer.,https://en.wikipedia.org/wiki/Oasis_(band),https://en.wikipedia.org/wiki/The_Beatles,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Oasis_(band)', 'https://en.wikipedia.org/wiki/The_Beatles']",0,1,0,0,0,1,2,0
If the Great North Run took place on York's Medieval Walls how many circuits of them would the athletes run? Round to the nearest tenth of a circuit.,6.2 circuits.,https://en.wikipedia.org/wiki/York_city_walls,https://en.wikipedia.org/wiki/Great_North_Run,https://en.wikipedia.org/wiki/Half_marathon,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/York_city_walls', 'https://en.wikipedia.org/wiki/Great_North_Run', 'https://en.wikipedia.org/wiki/Half_marathon']",0,1,0,0,0,1,3,0
"I'm a concert venue in Washington, D.C. Blink-182 played here on their tour the same year Brazil won their fifth FIFA World Cup. What was my name in 2010?",Verizon Center,https://en.wikipedia.org/wiki/Brazil_national_football_team#FIFA_World_Cup,https://en.wikipedia.org/wiki/Blink-182#Tours,https://en.wikipedia.org/wiki/Pop_Disaster_Tour,https://en.wikipedia.org/wiki/Capital_One_Arena,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Brazil_national_football_team#FIFA_World_Cup', 'https://en.wikipedia.org/wiki/Blink-182#Tours', 'https://en.wikipedia.org/wiki/Pop_Disaster_Tour', 'https://en.wikipedia.org/wiki/Capital_One_Arena']",0,0,0,1,1,2,4,0
"Of the non-Americans who have won the Phoenix Open as of 2024, who was the youngest at the time of his win?",Hideki Matsuyama,https://en.wikipedia.org/wiki/Phoenix_Open,https://en.wikipedia.org/wiki/Nick_Taylor_(golfer),https://en.wikipedia.org/wiki/Hideki_Matsuyama,https://en.wikipedia.org/wiki/Aaron_Baddeley,https://en.wikipedia.org/wiki/Vijay_Singh,https://en.wikipedia.org/wiki/Jesper_Parnevik,https://en.wikipedia.org/wiki/Sandy_Lyle,https://en.wikipedia.org/wiki/Bruce_Crampton,https://en.wikipedia.org/wiki/George_Knudson,https://en.wikipedia.org/wiki/Bobby_Locke,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Phoenix_Open', 'https://en.wikipedia.org/wiki/Nick_Taylor_(golfer)', 'https://en.wikipedia.org/wiki/Hideki_Matsuyama', 'https://en.wikipedia.org/wiki/Aaron_Baddeley', 'https://en.wikipedia.org/wiki/Vijay_Singh', 'https://en.wikipedia.org/wiki/Jesper_Parnevik', 'https://en.wikipedia.org/wiki/Sandy_Lyle', 'https://en.wikipedia.org/wiki/Bruce_Crampton', 'https://en.wikipedia.org/wiki/George_Knudson', 'https://en.wikipedia.org/wiki/Bobby_Locke']",0,1,0,0,1,2,10,0
"Out of all of the feature-length theatrical films that John Carpenter directed before 2015, which has the longest running time?",Starman (1984),https://en.wikipedia.org/wiki/John_Carpenter_filmography,https://en.wikipedia.org/wiki/Dark_Star_(film),https://en.wikipedia.org/wiki/Assault_on_Precinct_13_(1976_film),https://en.wikipedia.org/wiki/Halloween_(1978_film),https://en.wikipedia.org/wiki/The_Fog,https://en.wikipedia.org/wiki/Escape_from_New_York,https://en.wikipedia.org/wiki/The_Thing_(1982_film),https://en.wikipedia.org/wiki/Christine_(1983_film),https://en.wikipedia.org/wiki/Starman_(film),https://en.wikipedia.org/wiki/Big_Trouble_in_Little_China,"https://en.wikipedia.org/wiki/Prince_of_Darkness_(film), https://en.wikipedia.org/wiki/They_Live, https://en.wikipedia.org/wiki/Memoirs_of_an_Invisible_Man_(film), https://en.wikipedia.org/wiki/In_the_Mouth_of_Madness, https://en.wikipedia.org/wiki/Village_of_the_Damned_(1995_film), https://en.wikipedia.org/wiki/Escape_from_L.A., https://en.wikipedia.org/wiki/Vampires_(1998_film), https://en.wikipedia.org/wiki/Ghosts_of_Mars, https://en.wikipedia.org/wiki/The_Ward_(film)",Tabular reasoning,"['https://en.wikipedia.org/wiki/John_Carpenter_filmography', 'https://en.wikipedia.org/wiki/Dark_Star_(film)', 'https://en.wikipedia.org/wiki/Assault_on_Precinct_13_(1976_film)', 'https://en.wikipedia.org/wiki/Halloween_(1978_film)', 'https://en.wikipedia.org/wiki/The_Fog', 'https://en.wikipedia.org/wiki/Escape_from_New_York', 'https://en.wikipedia.org/wiki/The_Thing_(1982_film)', 'https://en.wikipedia.org/wiki/Christine_(1983_film)', 'https://en.wikipedia.org/wiki/Starman_(film)', 'https://en.wikipedia.org/wiki/Big_Trouble_in_Little_China', 'https://en.wikipedia.org/wiki/Prince_of_Darkness_(film), https://en.wikipedia.org/wiki/They_Live, https://en.wikipedia.org/wiki/Memoirs_of_an_Invisible_Man_(film), https://en.wikipedia.org/wiki/In_the_Mouth_of_Madness, https://en.wikipedia.org/wiki/Village_of_the_Damned_(1995_film), https://en.wikipedia.org/wiki/Escape_from_L.A., https://en.wikipedia.org/wiki/Vampires_(1998_film), https://en.wikipedia.org/wiki/Ghosts_of_Mars, https://en.wikipedia.org/wiki/The_Ward_(film)']",0,0,0,1,0,1,11,0
How much taller (in centimetres) is Mark O'Halloran (ex West Tigers rugby league player) than the London Broncos' player with the heritage number 341?,11cm,https://en.wikipedia.org/wiki/Mark_O%27Halloran_(rugby_league),https://en.wikipedia.org/wiki/Robert_Fico,https://en.wikipedia.org/wiki/London_Broncos#1994%E2%80%932005:_Broncos_and_Super_League,https://en.wikipedia.org/wiki/Steele_Retchless,,,,,,,,Numerical reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Mark_O%27Halloran_(rugby_league)', 'https://en.wikipedia.org/wiki/Robert_Fico', 'https://en.wikipedia.org/wiki/London_Broncos#1994%E2%80%932005:_Broncos_and_Super_League', 'https://en.wikipedia.org/wiki/Steele_Retchless']",1,1,1,0,1,4,4,0
"Which American actress, born the same year Denzel Washington won his first Best Actor in a Leading Role Academy Award, had a supporting role in the second season of the Netflix series ""You""?",Jenna Ortega,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Denzel_Washington,https://en.wikipedia.org/wiki/Jenna_Ortega,https://en.wikipedia.org/wiki/Victoria_Pedretti,https://en.wikipedia.org/wiki/Carmela_Zumbado,https://en.wikipedia.org/wiki/Ambyr_Childers,https://en.wikipedia.org/wiki/Saffron_Burrows,https://en.wikipedia.org/wiki/Tati_Gabrielle,https://en.wikipedia.org/wiki/You_(TV_series)#Season_2_(2019),,,,Numerical reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Denzel_Washington', 'https://en.wikipedia.org/wiki/Jenna_Ortega', 'https://en.wikipedia.org/wiki/Victoria_Pedretti', 'https://en.wikipedia.org/wiki/Carmela_Zumbado', 'https://en.wikipedia.org/wiki/Ambyr_Childers', 'https://en.wikipedia.org/wiki/Saffron_Burrows', 'https://en.wikipedia.org/wiki/Tati_Gabrielle', 'https://en.wikipedia.org/wiki/You_(TV_series)#Season_2_(2019)']",1,1,1,0,1,4,8,0
"The screenwriter of the film, which received nominations for Best Screenplay and Best Actor in a Motion Picture - Drama at the 1995 Golden Globes, attended which Michigan university?",Grand Valley State University,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_in_a_Motion_Picture_%E2%80%93_Drama,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Screenplay,https://en.wikipedia.org/wiki/Tim_Robbins,https://en.wikipedia.org/wiki/Patrick_Sheane_Duncan,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_in_a_Motion_Picture_%E2%80%93_Drama', 'https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Screenplay', 'https://en.wikipedia.org/wiki/Tim_Robbins', 'https://en.wikipedia.org/wiki/Patrick_Sheane_Duncan']",1,0,0,1,0,2,4,0
"As of August 2024, who was president of the United States the last time The Beach Boys topped the chart on the Billboard Hot 100?",Ronald Reagan,https://en.wikipedia.org/wiki/The_Beach_Boys#History,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1988,https://en.wikipedia.org/wiki/President_of_the_United_States#History_and_development,https://en.wikipedia.org/wiki/Ronald_Reagan,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/The_Beach_Boys#History', 'https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1988', 'https://en.wikipedia.org/wiki/President_of_the_United_States#History_and_development', 'https://en.wikipedia.org/wiki/Ronald_Reagan']",1,0,0,0,1,2,4,0
Which president featured on a U.S. coin in 1972 served the longest as President of the United States of America?,Franklin Delano Roosevelt (12 years).,https://en.wikipedia.org/wiki/Penny_(United_States_coin),https://en.wikipedia.org/wiki/Nickel_(United_States_coin),https://en.wikipedia.org/wiki/Dime_(United_States_coin),https://en.wikipedia.org/wiki/Quarter_(United_States_coin),https://en.wikipedia.org/wiki/Half_dollar_(United_States_coin),https://en.wikipedia.org/wiki/Dollar_coin_(United_States),https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Penny_(United_States_coin)', 'https://en.wikipedia.org/wiki/Nickel_(United_States_coin)', 'https://en.wikipedia.org/wiki/Dime_(United_States_coin)', 'https://en.wikipedia.org/wiki/Quarter_(United_States_coin)', 'https://en.wikipedia.org/wiki/Half_dollar_(United_States_coin)', 'https://en.wikipedia.org/wiki/Dollar_coin_(United_States)', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States']",1,1,0,1,0,3,7,0
"In 2023, Beavers are known to be the second-largest living rodents. The largest extant rodent species are natively most prevalent in a single continent. What is the largest country in this continent?",Brazil.,https://en.wikipedia.org/wiki/Beaver,https://en.wikipedia.org/wiki/Hydrochoerus,https://en.wikipedia.org/wiki/Capybara,https://en.wikipedia.org/wiki/South_America,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Beaver', 'https://en.wikipedia.org/wiki/Hydrochoerus', 'https://en.wikipedia.org/wiki/Capybara', 'https://en.wikipedia.org/wiki/South_America']",1,1,0,1,1,4,4,0
A 1986 song by Peter Gabriel shares the name with a tool. What is the name of the tool and how does it look?,"Sledgehammer: A tool with a large, flat, often metal head, attached to a long handle.",https://en.wikipedia.org/wiki/Peter_Gabriel,https://en.wikipedia.org/wiki/So_(album),https://en.wikipedia.org/wiki/Sledgehammer,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Peter_Gabriel', 'https://en.wikipedia.org/wiki/So_(album)', 'https://en.wikipedia.org/wiki/Sledgehammer']",1,0,0,0,0,1,3,0
How old was the author of Dragon Ball when the manga was first released?,29,https://en.wikipedia.org/wiki/Dragon_Ball,https://en.wikipedia.org/wiki/Akira_Toriyama,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Dragon_Ball', 'https://en.wikipedia.org/wiki/Akira_Toriyama']",0,0,0,0,1,1,2,0
"How long did Steve Jobs live, percentage wise, compared to the average lifespan of a person in the United States in 1984? Round each number to the nearest whole integer before calculating your answer. Then round your answer the nearest hundredth. ",75.68%,https://en.wikipedia.org/wiki/List_of_countries_by_past_life_expectancy,https://en.wikipedia.org/wiki/Steve_Jobs,,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_countries_by_past_life_expectancy', 'https://en.wikipedia.org/wiki/Steve_Jobs']",1,1,1,1,1,5,2,0
What song topped Billboard magazine's Top 30 chart in the same year that the first documented case of a person being hit and surviving a meteorite occurred?,Little Things Mean a Lot by Kitty Kallen,https://en.wikipedia.org/wiki/Ann_Elizabeth_Fowler_Hodges,https://en.wikipedia.org/wiki/Billboard_year-end_top_30_singles_of_1954,,,,,,,,,,Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Ann_Elizabeth_Fowler_Hodges', 'https://en.wikipedia.org/wiki/Billboard_year-end_top_30_singles_of_1954']",1,0,0,1,1,3,2,0
What year was the person born who was Prime Minister of The United Kingdom during the year that the first African American ran for president of the United States?,1792,"https://en.wikipedia.org/wiki/List_of_African-American_United_States_presidential_and_vice_presidential_candidates#:~:text=In%201848%2C%20Frederick%20Douglass%20became,major%20party%2C%20namely%20the%20Democrats.",https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell",,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_African-American_United_States_presidential_and_vice_presidential_candidates#:~:text=In%201848%2C%20Frederick%20Douglass%20became,major%20party%2C%20namely%20the%20Democrats.', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom', 'https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell']",1,1,0,1,1,4,3,0
Which member of the Wu-Tang Clan was born on Staten Island?,Ghostface Killah,https://en.wikipedia.org/wiki/Wu-Tang_Clan,https://en.wikipedia.org/wiki/RZA,https://en.wikipedia.org/wiki/GZA,https://en.wikipedia.org/wiki/Method_Man,https://en.wikipedia.org/wiki/Raekwon,https://en.wikipedia.org/wiki/Ghostface_Killah,https://en.wikipedia.org/wiki/Inspectah_Deck,https://en.wikipedia.org/wiki/U-God,https://en.wikipedia.org/wiki/Masta_Killa,https://en.wikipedia.org/wiki/Ol%27_Dirty_Bastard,https://en.wikipedia.org/wiki/Cappadonna,Multiple constraints,"['https://en.wikipedia.org/wiki/Wu-Tang_Clan', 'https://en.wikipedia.org/wiki/RZA', 'https://en.wikipedia.org/wiki/GZA', 'https://en.wikipedia.org/wiki/Method_Man', 'https://en.wikipedia.org/wiki/Raekwon', 'https://en.wikipedia.org/wiki/Ghostface_Killah', 'https://en.wikipedia.org/wiki/Inspectah_Deck', 'https://en.wikipedia.org/wiki/U-God', 'https://en.wikipedia.org/wiki/Masta_Killa', 'https://en.wikipedia.org/wiki/Ol%27_Dirty_Bastard', 'https://en.wikipedia.org/wiki/Cappadonna']",1,0,0,0,0,1,11,0
"Using data from the year 2020, if you were to combine the permanent human populations of Aukland Island, Rose Island, and Budelli Island, how many total people would you have?",1,https://en.wikipedia.org/wiki/Auckland_Island#Human_presence_on_the_island,https://en.wikipedia.org/wiki/Rose_Island_(New_Zealand),https://en.wikipedia.org/wiki/Budelli,,,,,,,,,Numerical reasoning | Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Auckland_Island#Human_presence_on_the_island', 'https://en.wikipedia.org/wiki/Rose_Island_(New_Zealand)', 'https://en.wikipedia.org/wiki/Budelli']",1,1,1,0,0,3,3,0
"The man who owned The Washington Post in 1932 broke the trust established by his father to gain control of the paper, only to run into the ground, lose it, and get committed to a psychiatric hospital where he died. How many days after his death did the man who purchased it in 1933 die?",6563 days,https://en.wikipedia.org/wiki/The_Washington_Post,https://en.wikipedia.org/wiki/Edward_Beale_McLean,https://en.wikipedia.org/wiki/Eugene_Meyer_(financier),,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/The_Washington_Post', 'https://en.wikipedia.org/wiki/Edward_Beale_McLean', 'https://en.wikipedia.org/wiki/Eugene_Meyer_(financier)']",1,1,0,0,1,3,3,0
Who manufactured the kits Tomáš Pekhart wore in 2008 in his senior career?,Puma and Umbro,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Pekhart,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,https://en.wikipedia.org/wiki/Southampton_F.C.,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Pekhart', 'https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.', 'https://en.wikipedia.org/wiki/Southampton_F.C.']",0,0,0,1,0,1,3,0
How much older was the songwriter of 'The Twist' when he wrote it than Chubby Checker was when he recorded the song?,12 years,https://en.wikipedia.org/wiki/The_Twist_(song),https://en.wikipedia.org/wiki/Hank_Ballard,https://en.wikipedia.org/wiki/Chubby_Checker,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/The_Twist_(song)', 'https://en.wikipedia.org/wiki/Hank_Ballard', 'https://en.wikipedia.org/wiki/Chubby_Checker']",1,0,0,0,1,2,3,0
"Of the top two most watched television season finales (as of June 2024), which finale ran the longest in length and by how much? ",The MASH finale ran for 52 minutes longer than the Cheers finale.,https://en.wikipedia.org/wiki/Series_finale,"https://en.wikipedia.org/wiki/Goodbye,_Farewell_and_Amen",https://en.wikipedia.org/wiki/One_for_the_Road_(Cheers),,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/Series_finale', 'https://en.wikipedia.org/wiki/Goodbye,_Farewell_and_Amen', 'https://en.wikipedia.org/wiki/One_for_the_Road_(Cheers)']",0,1,0,1,0,2,3,0
"Lauryn Hill has one older brother named Malaney. The year he was born, a famous baseball player who played his final season with the Philadelphia Athletics died in March. That player was elected to the Baseball Hall of Fame. 6 years later after his election, the only person to be inducted to the Baseball Hall of Fame had how many total career wins? ",365,https://en.wikipedia.org/wiki/Lauryn_Hill#Early_life,https://en.wikipedia.org/wiki/1972#,https://en.wikipedia.org/wiki/Zack_Wheat#,https://en.wikipedia.org/wiki/List_of_members_of_the_Baseball_Hall_of_Fame,https://en.wikipedia.org/wiki/Pud_Galvin,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Lauryn_Hill#Early_life', 'https://en.wikipedia.org/wiki/1972#', 'https://en.wikipedia.org/wiki/Zack_Wheat#', 'https://en.wikipedia.org/wiki/List_of_members_of_the_Baseball_Hall_of_Fame', 'https://en.wikipedia.org/wiki/Pud_Galvin']",1,1,1,1,1,5,5,0
"Which female athlete achieved a ""world's best"" and a ""world record""  for the marathon during Tony Blair's second term as British Prime Minister.",Paula Radcliffe,https://en.wikipedia.org/wiki/Tony_Blair,https://en.wikipedia.org/wiki/Marathon_world_record_progression,,,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Tony_Blair', 'https://en.wikipedia.org/wiki/Marathon_world_record_progression']",0,0,0,1,1,2,2,0
"Who were the key members of the original lineup of the rock band Queen, and what were their primary roles in the band?  Which original member of Queen was also in a band named Smile and what year did that band begin and end?","The original lineup of Queen consisted of Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), Roger Taylor (drums, vocals), and John Deacon (bass guitar).    Smile was an English rock band formed in London in 1968 with Brian May and Tim Staffell.  It ended in 1970 when Staffell left to join another band, Humpy Bong.",https://en.wikipedia.org/wiki/Queen_(band),https://en.wikipedia.org/wiki/Smile_(band),,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Queen_(band)', 'https://en.wikipedia.org/wiki/Smile_(band)']",0,0,0,0,1,1,2,0
What is population in 1968 of the city that hosted the olympic games in which Lucy Steele competed?,"15,739",https://en.wikipedia.org/wiki/Lucy_Steele,https://en.wikipedia.org/wiki/1992_Winter_Olympics,https://en.wikipedia.org/wiki/Albertville,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Lucy_Steele', 'https://en.wikipedia.org/wiki/1992_Winter_Olympics', 'https://en.wikipedia.org/wiki/Albertville']",1,0,0,0,0,1,3,0
There's a comedy club on Sunset in West Hollywood that opened in 1972. One of its founders opened for one of Elvis' comeback performances. Where was this founder's first wife born?,"Marinette, Wisconsin",https://en.wikipedia.org/wiki/The_Comedy_Store,https://en.wikipedia.org/wiki/Sammy_Shore,https://en.wikipedia.org/wiki/Mitzi_Shore,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/The_Comedy_Store', 'https://en.wikipedia.org/wiki/Sammy_Shore', 'https://en.wikipedia.org/wiki/Mitzi_Shore']",1,0,0,0,1,2,3,0
"Spryo the Dragon released a sequel just a year after it came out. In the same year Spryo's sequel came out, what popular skateboarding based game hit shelves? ",Tony Hawk's Pro Skater,https://en.wikipedia.org/wiki/Spyro_the_Dragon,https://en.wikipedia.org/wiki/Spyro_2:_Ripto%27s_Rage!,https://en.wikipedia.org/wiki/Tony_Hawk%27s_Pro_Skater,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Spyro_the_Dragon', 'https://en.wikipedia.org/wiki/Spyro_2:_Ripto%27s_Rage!', 'https://en.wikipedia.org/wiki/Tony_Hawk%27s_Pro_Skater']",1,0,0,0,1,2,3,0
